txn_id,segment,amount
PRC-0208,Procurement-VendorX,67595.87
PRC-0209,Procurement-VendorX,67171.5
PRC-0210,Procurement-VendorX,62767.23
PRC-0211,Procurement-VendorX,56088.87
PRC-0212,Procurement-VendorX,49432.62
PRC-0213,Procurement-VendorX,74874.92
PRC-0214,Procurement-VendorX,68589.88
PRC-0215,Procurement-VendorX,51678.12
PRC-0216,Procurement-VendorX,78777.22
PRC-0217,Procurement-VendorX,42182.36
PRC-0218,Procurement-VendorX,77235.26
PRC-0219,Procurement-VendorX,75261.39
PRC-0220,Procurement-VendorX,80570.45
PRC-0221,Procurement-VendorX,59303.94
PRC-0222,Procurement-VendorX,73184.44
PRC-0223,Procurement-VendorX,81037.38
PRC-0224,Procurement-VendorX,89040.91
PRC-0225,Procurement-VendorX,64766.43
PRC-0226,Procurement-VendorX,41850.98
PRC-0227,Procurement-VendorX,65114.56
PRC-0228,Procurement-VendorX,69509.02
PRC-0229,Procurement-VendorX,83485.02
PRC-0230,Procurement-VendorX,83709.52
PRC-0231,Procurement-VendorX,62015.31
PRC-0232,Procurement-VendorX,66297.55
PRC-0233,Procurement-VendorX,62846.4
PRC-0234,Procurement-VendorX,76122.19
PRC-0235,Procurement-VendorX,60498.93
PRC-0236,Procurement-VendorX,72739.07
PRC-0237,Procurement-VendorX,47718.06
PRC-0238,Procurement-VendorX,63474.53
PRC-0239,Procurement-VendorX,88460.18
PRC-0240,Procurement-VendorX,56928.06
PRC-0241,Procurement-VendorX,74635.23
PRC-0242,Procurement-VendorX,72491.83
PRC-0243,Procurement-VendorX,82588.26
PRC-0244,Procurement-VendorX,82617.07
PRC-0245,Procurement-VendorX,82967.11
PRC-0246,Procurement-VendorX,59000.47
PRC-0247,Procurement-VendorX,55833.06
PRC-0248,Procurement-VendorX,75935.87
PRC-0249,Procurement-VendorX,77970.09
